MSA	SPOP	SEMP	SHH
40	147.848	111.406	57.995
80	735.194	564.587	320.091
120	155.664	85.1	57.064
160	1012.043	777.297	422.873
199	1549.349	782.003	640.134
200	1330.525	816.549	555.446
220	149.157	109.018	60.526
240	992.739	554.007	395.369
280	120.724	102.229	47.753
299	570.599	345.346	223.293
320	313.477	213.621	121.663
380	383.3	293.048	145.124
440	857.486	504.37	358.246
450	128.317	86.305	58.61
460	485.07	352.748	192.916
480	378.436	258.468	164.226
499	1099.882	495.819	423.682
500	264.439	174.188	104.492
520	8231.433	4781.287	3041.793
560	485.812	341.644	195.806
580	209.739	100.904	89.146
599	1580.415	880.757	663.427
600	650.634	402.365	262.382
640	3156.629	2015.992	1179.194
680	1148.67	539.136	330.5
699	1671.07	829.226	628.216
720	3706.045	2382.178	1554.055
730	44.03863032	34.0047853	18.9637589
740	219.7765625	148.0771875	102.2016875
760	1071.642	708.702	418.066
840	445.817	277.565	172.589
860	343.867	199.189	142.995
870	158.722	94.498	66.324
875	1456.306	1075.481	539.74
880	197.688	152.011	81.962
899	1109.313	744.27	435.5
920	447.294	284.516	184.756
960	242.176	157.446	98.821
999	975.0996245	691.4862845	392.5955595
1000	1368.443	847.102	558.829
1010	141.893	112.491	59.069
1020	160.672	120.943	73.067
1040	229.325	184.303	95.8
1080	1019.39	633.517	373.298
1099	302.755	147.779	133.373
1120	3993.990806	3074.497656	1655.875103
1125	493.316	412.314	200.586
1145	496.098	210.674	177.923
1150	373.543	203.179	151.982
1160	309.3410774	241.2288333	118.6062024
1200	412.8319703	237.2657738	165.8135
1240	633.052	293.686	200.389
1260	276.963	180.635	103.485
1280	1129.349	740.83	465.879
1299	2041.576	952.507	853.284
1305	191.6245777	153.2964667	77.24955556
1320	432.03	303.147	184.534
1350	99.923	77.702	40.171
1360	276.793	196.766	120.997
1399	3783.572	2002.96	1461.849
1400	207.484	160.774	91.285
1440	1100.151	695.664	447.657
1480	255.537	230.282	111.643
1520	3029.85	1866.142	1229.39
1540	254.293	193.736	111.258
1560	614.721	414.695	252.378
1580	112.77	85.028	39.843
1599	695.825	413.606	273.186
1600	10919.502	6864.371	4034.754
1620	291.524	158.478	116.378
1640	2202.714	1498.538	952.607
1660	371.94	186.168	148.072
1680	2220.27	1680.288	949.472
1699	1361.986	842.279	519.971
1720	930.157	564.367	359.13
1740	240.588	167.115	104.615
1760	889.971	600.418	356.549
1799	1873.484	1100.673	784.838
1800	333.922	237.881	128.2
1840	2291.153	1623.114	1004.262
1880	463.453	310.041	178.485
1890	103.2	79.689	42.517
1899	1856.681	1090.27	763.163
1900	98.395	61.188	42.354
1920	6784.54	4296.609	2454.044
1930	278.5170962	219.559	105.7134615
1950	106.595	66.372	49.74
1960	389.815	283.329	167.189
1999	1613.854	1274.556	680.319
2000	915.156	647.511	375.106
2020	907.607	395.474	402.891
2030	166.091	80.715	69.882
2040	102.04	79.96	44.693
2080	3682.328	2364.701	1419.088
2099	1209.581	883.328	488.225
2120	749.065	557.644	312.49
2160	4592.929	2868.164	1904.071
2180	188.841	117.653	80.808
2190	279.598	155.085	117.422
2199	2620.355	1374.953	1106.831
2200	103.994	97.172	42.392
2240	248.033	192.202	103.32
2281	366.911	235.092	136.068
2290	231.659	163.428	102.167
2299	1272.009	723.965	488.057
2320	1226.99	636.942	418.711
2330	244.463	176.796	90.036
2335	81.77	56.086	32.444
2340	59.402	51.515	24.8
2360	289.739	220.56	110.731
2399	1100.070489	759.4917909	480.8953173
2400	481.293	279.369	214.357
2440	346.61	220.179	147.169
2499	646.869	394.862	275.971
2520	257.712	222.46	111.636
2560	405.488	297.297	167.594
2580	767.601	472.804	301.763
2599	726.5354633	563.2463604	310.8546756
2600	198.5319037	123.1451593	81.9902
2620	220.353	158.29	83.989
2640	433.062	238.994	184.204
2650	159.426	87.053	70.473
2655	166.6	121.07	65.072
2670	505.719	369.899	209.728
2680	2588.714	1611.063	978
2699	2114.73	1056.492	883.063
2700	996.036	466.3	462.327
2710	726.546	334.496	327.369
2720	305.45	184.673	124.772
2750	280.255	214.412	124.915
2760	650.054	422.426	273.254
2799	1787.065	1249.043	757.127
2800	3186.157	1752.876	1160.727
2840	1516.133	756.011	500.903
2880	114.25	59.074	47.476
2899	2103.836	1173.129	815.99
2900	329.756	253.883	143.148
2920	452.497	229.544	180.072
2960	784.278	424.054	308.525
2975	150.826	89.307	64.734
2980	123.961	76.334	53.289
2985	115.385	95.116	48.634
2995	206.03	131.652	86.128
2999	2254.965	1330.449	942.098
3000	1479.518	904.981	577.143
3040	88.198	67.697	40.521
3060	361.395	168.088	126.305
3080	317.75	241.116	125.897
3099	960.292	670.06	420.113
3120	1750.177	1113.804	730.964
3150	255.655	173.702	107.796
3160	1366.21	845.949	579.255
3180	190.791	102.567	78.382
3199	836.898	653.564	345.892
